,-3671.9500000000003
Motor&Fuel7Brch-222,0.0
Motor&Fuel7Brch-379,0.0
BCARD37Brch-17,0.0
Motor&Fuel7Brch-6,0.0
Motor&Fuel7Brch-451,0.0
BCARD37Brch-97,0.0
Others9Brch-205,0.0
Motor&Fuel7Brch-137,0.0
Others11Brch-810,0.0
Motor&Fuel7Brch-387,0.0
BCARD40Brch-21,0.0
Others11Brch-734,0.0
Others11Brch-801,0.0
Food&Beverage13Brch-133,0.0
Food&Beverage13Brch-157,0.0
Motor&Fuel7Brch-461,0.0
Others9Brch-697,0.0
Motor&Fuel7Brch-426,0.0
Motor&Fuel7Brch-107,0.0
Others11Brch-276,0.0
Motor&Fuel7Brch-186,0.0
Others9Brch-308,0.0
Others9Brch-2019,0.0
Others9Brch-201,0.0
Others9Brch-1309,0.0
Others11Brch-467,0.0
Others9Brch-1669,0.0
Others9Brch-1775,0.0
Others9Brch-1907,0.0
Motor&Fuel7Brch-31,0.0
Food&Beverage13Brch-166,0.0
Others11Brch-848,0.0
Others9Brch-1547,0.0
Others9Brch-1536,0.0
Others9Brch-1122,0.0
Motor&Fuel7Brch-260,0.0
Motor&Fuel7Brch-453,0.0
Others9Brch-1217,0.0
Others9Brch-167,0.0
Food&Beverage13Brch-158,0.0
Motor&Fuel7Brch-458,0.0
Motor&Fuel1Brch-4,0.0
Others5Brch-13,0.0
Motor&Fuel7Brch-459,0.0
Others11Brch-231,0.0
Others9Brch-160,0.0
Food&Beverage13Brch-162,0.0
Others9Brch-1418,0.0
Others9Brch-334,0.0
Others9Brch-1051,0.0
Food&Beverage13Brch-170,0.0
Others9Brch-162,0.0
Others9Brch-105,0.0
Others11Brch-870,0.0
Others11Brch-577,0.0
Food&Beverage4Brch-14,0.0
BCARD8Brch-1,0.01
Motor&Fuel1Brch-7,0.01
BCARD21Brch-35,0.01
Food&Beverage13Brch-62,0.01
BCARD21Brch-45,0.01
BCARD37Brch-16,0.01
BCARD37Brch-84,0.01
BCARD37Brch-90,0.01
BCARD37Brch-34,0.01
BCARD37Brch-63,0.01
BCARD37Brch-55,0.01
BCARD37Brch-42,0.01
BCARD37Brch-67,0.01
BCARD38Brch-13,0.01
BCARD38Brch-3,0.01
BCARD41Brch-3,0.01
BCARD41Brch-4,0.01
BCARD41Brch-5,0.01
BCARD41Brch-6,0.01
BCARD42Brch-1,0.01
BCARD37Brch-53,0.01
Food&Beverage14Brch-9,0.01
Food&Beverage14Brch-20,0.01
Others6Brch-4,0.01
Motor&Fuel7Brch-385,0.01
Others6Brch-10,0.01
Others6Brch-11,0.01
BCARD44Brch-4,0.01
BCARD44Brch-11,0.01
BCARD44Brch-15,0.01
Food&Beverage14Brch-12,0.01
Food&Beverage14Brch-23,0.01
Motor&Fuel7Brch-416,0.01
Motor&Fuel7Brch-329,0.01
Motor&Fuel7Brch-247,0.01
Motor&Fuel7Brch-19,0.01
Motor&Fuel7Brch-346,0.01
Motor&Fuel7Brch-89,0.01
Motor&Fuel7Brch-281,0.01
Motor&Fuel7Brch-427,0.01
BCARD44Brch-3,0.01
Motor&Fuel7Brch-223,0.01
Motor&Fuel7Brch-199,0.01
Motor&Fuel7Brch-216,0.01
Motor&Fuel7Brch-270,0.01
Motor&Fuel7Brch-267,0.01
Motor&Fuel7Brch-243,0.01
Motor&Fuel7Brch-288,0.01
BCARD37Brch-9,0.01
Food&Beverage14Brch-24,0.01
Motor&Fuel7Brch-318,0.01
Motor&Fuel7Brch-322,0.01
BCARD37Brch-36,0.01
Motor&Fuel7Brch-421,0.01
Motor&Fuel7Brch-76,0.01
Food&Beverage14Brch-11,0.01
Others14Brch-35,0.01
Others14Brch-40,0.01
Others14Brch-41,0.01
Others14Brch-39,0.01
BCARD40Brch-3,0.01
Motor&Fuel7Brch-349,0.01
Motor&Fuel7Brch-59,0.01
Food&Beverage2Brch-106,0.01
BCARD23Brch-1,0.02
BCARD37Brch-41,0.02
BCARD37Brch-11,0.02
BCARD38Brch-12,0.02
BCARD38Brch-15,0.02
BCARD38Brch-7,0.02
BCARD41Brch-8,0.02
Others6Brch-9,0.02
BCARD44Brch-20,0.02
Others6Brch-8,0.02
Food&Beverage14Brch-16,0.02
Motor&Fuel7Brch-382,0.02
Motor&Fuel7Brch-284,0.02
Motor&Fuel7Brch-142,0.02
Motor&Fuel7Brch-211,0.02
Motor&Fuel7Brch-239,0.02
BCARD37Brch-7,0.02
Motor&Fuel7Brch-392,0.02
Motor&Fuel7Brch-119,0.02
Motor&Fuel7Brch-12,0.02
BCARD44Brch-19,0.02
Motor&Fuel7Brch-198,0.02
Motor&Fuel7Brch-250,0.02
Motor&Fuel7Brch-446,0.02
BCARD40Brch-8,0.02
Motor&Fuel7Brch-226,0.02
BCARD37Brch-2,0.03
BCARD38Brch-9,0.03
BCARD38Brch-11,0.03
BCARD38Brch-14,0.03
BCARD38Brch-16,0.03
BCARD41Brch-2,0.03
BCARD44Brch-10,0.03
BCARD21Brch-40,0.03
Food&Beverage14Brch-28,0.03
Motor&Fuel7Brch-315,0.03
Motor&Fuel7Brch-302,0.03
Others14Brch-10,0.03
Others14Brch-47,0.03
Others14Brch-43,0.03
Others14Brch-44,0.03
Others14Brch-45,0.03
Others14Brch-42,0.03
Utilities1Brch-26,0.03
BCARD37Brch-4,0.04
BCARD38Brch-21,0.04
BCARD41Brch-7,0.04
Motor&Fuel7Brch-286,0.04
Food&Beverage14Brch-27,0.04
Motor&Fuel7Brch-221,0.04
Motor&Fuel7Brch-77,0.04
BCARD40Brch-17,0.04
Others14Brch-23,0.04
Utilities1Brch-6,0.04
Others14Brch-46,0.04
Others14Brch-38,0.04
Motor&Fuel7Brch-14,0.04
BCARD37Brch-37,0.05
Motor&Fuel7Brch-314,0.05
Motor&Fuel1Brch-13,0.05
